ordering,perm,E_var,err_var_mHa,retained_J,n_unique,n_alpha_tot,n_beta_tot,top1,gini_alpha,gini_beta,dps_alpha,dps_beta,dim,E_sub,err_sub_mHa,pct_corr
q134,7293068154,-108.6250145608964,219.2858705709,0.20290768969898604,116,34,35,0.985112,0.968359,0.9692504571428572,3.4e-05,3.5e-05,225,-108.7953870510818,48.91338038549975,80.96591724287458
q135,5437698012,-108.60096888961161,243.33154185569583,0.30248017683077033,136,36,38,0.976967,0.9695691666666667,0.9712101578947369,3.6e-05,3.8e-05,225,-108.8078621311702,36.43830029710671,85.82045203341285
q136,2051893647,-108.60909519804375,235.2052334235566,0.2502174027070565,147,40,38,0.978574,0.97273985,0.971342,4e-05,3.8e-05,225,-108.7883025540549,55.997877412409025,78.20906622092446
q137,5840632917,-108.62538051041975,218.91992104755786,0.20625367414931842,118,34,34,0.983339,0.9684257647058824,0.9684771176470588,3.4e-05,3.4e-05,225,-108.8028444616262,41.45596984110966,83.86788329668386
q138,2039185467,-108.61263020337456,231.67022809273874,0.25021740270705645,124,38,38,0.985449,0.9718441052631579,0.9718393157894737,3.8e-05,3.8e-05,225,-108.8133821029646,30.91832850270748,87.96848594813162
q139,6508321974,-108.59799760693704,246.30282453026098,0.2339402591155598,54,19,22,0.993746,0.9463777894736842,0.9536933636363636,1.9e-05,2.2e-05,225,-108.7665913692046,77.70906226269858,69.76040685739851
q140,0516243789,-108.64143043402261,202.8699974446937,0.22748387885645863,181,44,42,0.968149,0.9739162727272728,0.972692761904762,4.4e-05,4.2e-05,225,-108.805414139892,38.88629157530943,84.86784421504491
q141,4027856193,-108.64895151280344,195.34891866386772,0.23706894720306312,179,40,44,0.967102,0.9712885,0.973942,4e-05,4.4e-05,225,-108.813313753032,30.986678435297677,87.94188835329943
q142,2756381940,-108.57815856946337,266.1418620039342,0.2178594883041058,87,31,32,0.989447,0.9663581935483871,0.967403375,3.1e-05,3.2e-05,225,-108.8015033621953,42.79706927199811,83.34600978575735
q143,6391827054,-108.6223073829594,221.99304850789758,0.2596277006346211,121,38,35,0.983474,0.9717629473684211,0.9693768,3.8e-05,3.5e-05,225,-108.7953812974371,48.919134030199984,80.96367827782011
q144,1984657230,-108.59629760714726,248.0028243200394,0.24358898967719453,103,31,34,0.986811,0.9655092903225806,0.9685410588235294,3.1e-05,3.4e-05,225,-108.7970166935062,47.283737961109296,81.60007396085038
q145,5371428906,-108.6292652842136,215.0351472537011,0.26694500066597987,120,38,39,0.986466,0.9714046315789474,0.972134358974359,3.8e-05,3.9e-05,225,-108.7879973110202,56.3031204470974,78.09028438377675
q146,5973681024,-108.59092483215518,253.37559931212184,0.23311545781100976,105,40,35,0.987732,0.97368485,0.9699375428571428,4e-05,3.5e-05,225,-108.78098901018,63.3114212873096,75.36308423673935
q147,6158293074,-108.61819094607026,226.10948539704623,0.13869229823068405,88,31,29,0.990196,0.966214064516129,0.9639071034482759,3.1e-05,2.9e-05,225,-108.7451396973015,99.16073416580673,61.412733990292686
q148,1852469307,-108.64503054791787,199.26988354943376,0.22568053575533226,152,41,39,0.978614,0.9728640975609756,0.9715146153846154,4.1e-05,3.9e-05,225,-108.7926152567213,51.6851747459981,79.88730515702703
q149,5940628731,-108.60106566428398,243.23476718332415,0.12795391766846345,78,26,24,0.989042,0.9596563076923077,0.9562855,2.6e-05,2.4e-05,225,-108.6888106238908,155.489807576501,39.49291907500234
q150,9045231876,-108.62141504210467,222.8853893626308,0.2594707564045541,143,35,43,0.982438,0.9686090285714286,0.974445023255814,3.5e-05,4.3e-05,225,-108.7949176116251,49.38281984220794,80.78324024533278
q151,4921780356,-108.62262751354666,221.67291792064248,0.1983872567617963,112,39,36,0.986852,0.9725620512820513,0.9702807222222222,3.9e-05,3.6e-05,225,-108.6903023562466,153.99807522069864,40.07340966649377
q152,6592784301,-108.62705488462767,217.24554683963504,0.21233901755356446,175,45,38,0.969742,0.9754379111111111,0.9709694736842105,4.5e-05,3.8e-05,225,-108.791614847341,52.68558412630853,79.49800728422088
q153,5146978203,-108.67960309682677,164.69733464053604,0.2028833496897041,179,48,45,0.973028,0.97511825,0.9735110222222222,4.8e-05,4.5e-05,225,-108.7984759995935,45.82443187379681,82.167946240684
q154,4801372569,-108.56527636913968,279.0240623276219,0.21788051823111956,101,34,32,0.986001,0.9686632352941177,0.9667014375,3.4e-05,3.2e-05,225,-108.7946518374963,49.648593970999855,80.67981728167214
q155,0938762145,-108.63806002908255,206.2404023847506,0.2155070278468161,150,38,41,0.985035,0.970997,0.9731379512195122,3.8e-05,4.1e-05,225,-108.7858880516003,58.41237986700776,77.26949019538894
q156,1526703894,-108.63760976307702,206.69066839028005,0.2276586492754985,183,44,44,0.964228,0.9739451818181818,0.9739357272727273,4.4e-05,4.4e-05,225,-108.8054329681246,38.867463342697306,84.87517100650535
q157,3271408569,-108.58821404294464,256.08638852266097,0.17389575974636776,81,35,33,0.991106,0.970372,0.9685694545454545,3.5e-05,3.3e-05,225,-108.764276269982,80.0241614852979,68.8595124631322
q158,0463195827,-108.64596304626066,198.33738520664213,0.2294409624496112,165,44,39,0.970472,0.974481,0.9712448717948718,4.4e-05,3.9e-05,225,-108.8079497994108,36.35063205649658,85.85456712694744
q159,7685490123,-108.58463354437613,259.66688709117136,0.231612138667552,103,33,35,0.987491,0.9682202424242424,0.9700646857142857,3.3e-05,3.5e-05,225,-108.794602995716,49.69743575129826,80.66081106127031
q160,8951273046,-108.61189587045533,232.40456101197537,0.2005827729890191,138,37,37,0.978882,0.9707131891891891,0.9707314054054054,3.7e-05,3.7e-05,225,-108.7919605331101,52.33989835720365,79.63252694909059
q161,4182563079,-108.60973545567822,234.56497578908397,0.18913069932625787,105,28,27,0.985764,0.9615132857142857,0.9601348148148148,2.8e-05,2.7e-05,225,-108.7496616698266,94.63876164070939,63.1724078993498
q162,7632049185,-108.64626628007866,198.0341513886401,0.2790755921676486,225,46,49,0.958062,0.9744186956521739,0.9759582040816327,4.6e-05,4.9e-05,225,-108.805414139892,38.88629157530943,84.86784421504491
q163,3258460791,-108.61956092781243,224.73950365487383,0.20957816258287543,146,37,40,0.983114,0.9703418918918919,0.97262075,3.7e-05,4e-05,225,-108.7926325975101,51.66783395719676,79.89405312673424
q164,7041283965,-108.61979237221107,224.5080592562374,0.1385175278116442,101,30,30,0.987938,0.9643520666666666,0.9644090666666667,3e-05,3e-05,225,-108.7487197829358,95.58064853150938,62.805883384257136
q165,4538790621,-108.61586263626137,228.43779520593444,0.19623390673282845,95,28,33,0.988183,0.9621482142857143,0.9678955151515152,2.8e-05,3.3e-05,225,-108.7468186102824,97.48182118489979,62.06606378203344
q166,1698740325,-108.61712725223514,227.1731792321674,0.19960423119244275,124,39,36,0.986065,0.9724645641025641,0.9701773333333333,3.9e-05,3.6e-05,225,-108.795030225557,49.270205910303844,80.82706266943379
q167,6318405792,-108.62281772482008,221.48270664722247,0.20857859085928537,165,42,41,0.981058,0.973423,0.9727816585365854,4.2e-05,4.1e-05,225,-108.7951488082724,49.15162319490207,80.87320777739265
q168,9327851604,-108.6749832140311,169.31721743620187,0.20490409549788696,197,49,49,0.963885,0.9755916326530613,0.9755874693877551,4.9e-05,4.9e-05,225,-108.8134184300106,30.88200145670328,87.98262220276207
q169,2187364905,-108.63556372523976,208.73670622754048,0.26692397073896623,147,40,37,0.985267,0.9724552,0.970236,4e-05,3.7e-05,225,-108.7941334555278,50.166975939504255,80.47809486521778
q170,4208195763,-108.60491429521035,239.38613625695382,0.3016553755262203,106,31,32,0.988047,0.9656890967741936,0.9667835,3.1e-05,3.2e-05,225,-108.8088836241781,35.41680728920937,86.21795435884826
q171,9380426157,-108.6063410406512,237.9593908161013,0.19236510948281904,155,40,39,0.978071,0.972673,0.9720079487179487,4e-05,3.9e-05,225,-108.8134184300106,30.88200145670328,87.98262220276207
q172,8312950764,-108.66451410335044,179.78632811686168,0.19130187554419864,159,43,42,0.975613,0.9736266511627907,0.9729894285714286,4.3e-05,4.2e-05,225,-108.7918043639245,52.49606754280478,79.57175549597454
q173,7586034291,-108.6524859455058,191.8144859615012,0.2308083672900156,208,45,49,0.969829,0.9742243111111111,0.9763618775510204,4.5e-05,4.9e-05,225,-108.8079497994108,36.35063205649658,85.85456712694744
q174,9360485172,-108.62521563997686,219.08479149044524,0.15131597638779604,122,38,37,0.986007,0.9716692105263158,0.9708787567567567,3.8e-05,3.7e-05,225,-108.7926152567214,51.68517474589862,79.88730515706574
q175,5061387924,-108.60986314676677,234.43728470053316,0.13771375643410783,91,31,29,0.986931,0.9658450322580645,0.9635017931034483,3.1e-05,2.9e-05,225,-108.7468186102824,97.48182118489979,62.06606378203344
q176,6230914758,-108.60524371017216,239.05672129514244,0.2500814884040032,113,38,34,0.988142,0.9719825263157895,0.9686895294117647,3.8e-05,3.4e-05,225,-108.7984759995935,45.82443187379681,82.167946240684
q177,8076219534,-108.62440435581725,219.89607565005542,0.2596487305616348,129,35,37,0.985971,0.9693035428571428,0.9709590810810811,3.5e-05,3.7e-05,225,-108.8057555068471,38.54492462019721,85.0006832628258
q178,6793508142,-108.58254551642878,261.754915038523,0.2235303894644052,110,36,33,0.98556,0.9705365,0.9678846666666667,3.6e-05,3.3e-05,225,-108.7911586143901,53.14181707720422,79.32046944742784
q179,9045167832,-108.64738986828189,196.910563185412,0.23180520136532654,171,41,43,0.976691,0.9723884390243902,0.9737059534883721,4.1e-05,4.3e-05,225,-108.7926152567214,51.68517474589862,79.88730515706574
q180,1756923804,-108.68444667080375,159.85376066355172,0.2639700530705027,187,47,49,0.964152,0.9746559574468086,0.9756977142857143,4.7e-05,4.9e-05,225,-108.8082997713503,36.000660116997096,85.99075470602304
q181,7108429365,-108.59283728620777,251.46314525953528,0.23394025911555977,87,28,33,0.988335,0.9626844285714286,0.9683174545454546,2.8e-05,3.3e-05,225,-108.7996095451401,44.69088632720286,82.60905253047207
q182,9581326047,-108.6096623313658,234.6381001015061,0.191365537759229,98,25,28,0.986762,0.95757552,0.9621202142857143,2.5e-05,2.8e-05,225,-108.8079497994108,36.35063205649658,85.85456712694744
q183,3408192576,-108.61187538131132,232.4250501559817,0.30263391732279654,124,35,35,0.987122,0.9694233142857143,0.9694294857142857,3.5e-05,3.5e-05,225,-108.8078877926365,36.412638830796595,85.83043789964344
q184,1290684357,-108.62645858170698,217.84184976031895,0.21155353845476257,122,35,34,0.986094,0.9695800571428571,0.9687146470588235,3.5e-05,3.4e-05,225,-108.7782023867683,66.09804469900382,74.2787015951574
q185,5071943628,-108.64231536120407,201.98507026323398,0.2188136900914001,147,44,40,0.983915,0.974854409090909,0.97238675,4.4e-05,4e-05,225,-108.8000999826977,44.20044876960105,82.79990069890826
q186,8041769235,-108.62695471498755,217.34571647975542,0.2072322159458948,112,35,34,0.988871,0.9697217714285714,0.9688304705882353,3.5e-05,3.4e-05,225,-108.8156844175397,28.61601392760349,88.86440534299021
q187,1387206459,-108.63366644433597,210.63398713133097,0.1567727849233072,109,31,32,0.989042,0.965710193548387,0.966784625,3.1e-05,3.2e-05,225,-108.798005330866,46.2951006012986,81.98479088646694
q188,3629741085,-108.61980858756591,224.4918439013901,0.25982350098067475,149,40,37,0.985032,0.9724723,0.9702164864864865,4e-05,3.7e-05,225,-108.795030225557,49.270205910303844,80.82706266943379
q189,5821603497,-108.64118184579455,203.11858567275465,0.16541863367908374,186,44,42,0.977405,0.9741695909090909,0.9730410952380952,4.4e-05,4.2e-05,225,-108.8000999826977,44.20044876960105,82.79990069890826
q190,9513702846,-108.6450542900816,199.24614138570007,0.16657194589469992,139,42,33,0.982825,0.9736459523809524,0.9664707878787879,4.2e-05,3.3e-05,225,-108.7918043639245,52.49606754280478,79.57175549597454
q191,2309461578,-108.5962579356915,248.04249577580606,0.1791956240518119,73,27,29,0.992189,0.9617848148148148,0.9644355862068965,2.7e-05,2.9e-05,225,-108.7920799136269,52.2205178403965,79.67898251234521
q192,2564807913,-108.64686064753698,197.4397839303208,0.28553197242674977,137,38,40,0.97821,0.9704512631578948,0.971943,3.8e-05,4e-05,225,-108.8081558066438,36.14462482350689,85.93473248641328
q193,7312560849,-108.59301277175611,251.2876597111955,0.17291721794979154,94,34,33,0.988605,0.9692095882352941,0.9682729090909091,3.4e-05,3.3e-05,225,-108.8078877926365,36.412638830796595,85.83043789964344
q194,9120657348,-108.6309022037374,213.39822772989692,0.2094033921638355,119,37,37,0.988346,0.971073081081081,0.9710723243243243,3.7e-05,3.7e-05,225,-108.7984759995935,45.82443187379681,82.167946240684
q195,2864015937,-108.61132020258313,232.98022888417336,0.20177540741038363,146,39,39,0.975014,0.9722584102564102,0.9723410256410256,3.9e-05,3.9e-05,225,-108.7953870510819,48.913380385400274,80.96591724291329
q196,5328194067,-108.61480918674623,229.49124472107485,0.24906409049144027,111,35,34,0.988326,0.9698365714285714,0.9689365294117647,3.5e-05,3.4e-05,225,-108.8078877926365,36.412638830796595,85.83043789964344
q197,9734028516,-108.69506835538941,149.2320760778938,0.22016006500479082,196,45,50,0.962064,0.9729392444444445,0.9756188,4.5e-05,5e-05,225,-108.7984759995935,45.82443187379681,82.167946240684
q198,6408297135,-108.62113349208916,223.1669393781459,0.19856202718083624,114,40,39,0.985481,0.9728918,0.9721915897435898,4e-05,3.9e-05,225,-108.7966013322868,47.6990991805053,81.43844089108963
q199,9718254063,-108.64001471670544,204.2857147618662,0.21781411836781,165,38,42,0.978017,0.9702277368421053,0.973119,3.8e-05,4.2e-05,225,-108.8000999826977,44.20044876960105,82.79990069890826
